"ParticipantID","Question.Name","Question.Type","Question.Order","Question.Number","q.solv.time","grade","pp.mean","pp.log.mean","HR.E4.mean","HR.E4.validated.mean","HR.AW.mean","pp_normalized","pp_log_normalized","hr.e4_normalized","hr.e4_validated_normalized","hr.aw_normalized","Gender","SAI.Score"
"S003","B4M109.1","V",2,"26",147,1,0.00542062834771612,-5.21783352821242,75.0124489795918,74.8462068965517,70.7586206896552,0.000431982973540967,0.0910623343780745,-0.267184720041868,-0.313429467084646,-0.387551020408168,"M",30
"S003","B5M101.1","V",3,"27",235,1,0.00555776414523541,-5.19343873706085,71.7537872340425,71.7406382978723,74.1063829787234,0.000569118771060259,0.115457125529643,-3.52584646559116,-3.41899806576403,-3.64621276595746,"M",30
"S003","B6M108.1","V",4,"28",99,0,0.00546539481207336,-5.21147908453754,96.2992929292929,78.7109090909091,72.1818181818182,0.000476749437898208,0.0974167780529518,21.0196592296592,3.55127272727273,20.8992929292929,"M",30
"S003","B7M114.2","W",3,"15",115,0,0.00557472912880288,-5.18959316403104,70.9944347826087,NA,NA,0.000586083754627728,0.119302698559456,-4.28519891702501,NA,-4.40556521739131,"M",30
"S003","B8M110.1","W",4,"16",40,0,0.00531694602522555,-5.23687336599319,73.483,NA,NA,0.000328300651050389,0.0720224965973024,-1.7966336996337,NA,-1.917,"M",30
"S003","B9M115.2","W",5,"17",22,0,0.00530992801037099,-5.23821897008712,64.9718181818182,NA,NA,0.000321282636195834,0.0706768925033785,-10.3078155178155,NA,-10.4281818181818,"M",30
"S003","C10M115.1","W",12,"24",72,0,0.00561470499271815,-5.18240646079855,70.2077777777778,70.0533333333333,74.1333333333333,0.000626059618542989,0.126489401791942,-5.07185592185593,-5.10630303030304,-5.19222222222223,"M",30
"S003","C11M113.1","V",11,"35",121,0,0.00560463109083556,-5.18427309660453,72.2472727272727,72.28625,73.6666666666667,0.000615985716660408,0.124622765985966,-3.03236097236098,-2.87338636363637,-3.15272727272728,"M",30
"S003","C12M116.1","V",12,"36",85,0,0.00560550948450307,-5.18413246544153,69.1210588235294,68.2827272727273,83.6363636363636,0.000616864110327918,0.124763397148969,-6.1585748761043,-6.87690909090909,-6.2789411764706,"M",30
"S003","C1M104.2","W",7,"19",47,1,0.00574839040069668,-5.15886369271755,70.4634042553191,NA,NA,0.000759745026521529,0.150032169872944,-4.81622944431456,NA,-4.93659574468086,"M",30
"S003","C2M103.2","V",7,"31",92,1,0.0059440198100962,-5.12550403925727,73.3007608695652,73.2866666666667,75.2222222222222,0.00095537443592104,0.183391823333221,-1.97887283006848,-1.8729696969697,-2.09923913043478,"M",30
"S003","C3M105.1","W",8,"20",82,1,0.00564887938584901,-5.17638638666525,71.7815853658537,NA,NA,0.00066023401167385,0.132509475925243,-3.49804833378005,NA,-3.61841463414635,"M",30
"S003","C4M101.2","V",8,"32",160,1,0.00574073828975622,-5.16028403692868,75.154625,75.1315625,74.53125,0.000752092915581063,0.148611825661817,-0.12500869963371,-0.0280738636363651,-0.24537500000001,"M",30
"S003","C5M109.2","W",9,"21",76,1,0.00556883706356891,-5.19071576975522,67.5188157894737,NA,NA,0.00058019168939375,0.118180092835273,-7.76081791016003,NA,-7.88118421052633,"M",30
"S003","C6M114.1","W",10,"22",40,1,0.00537464892419551,-5.22606539393575,64.83775,64.5475,80.75,0.000386003550020358,0.0828304686547465,-10.4418836996337,-10.6121363636364,-10.56225,"M",30
"S003","C7M107.2","W",11,"23",16,0,0.00541550219606903,-5.21849020915864,66.62625,66.7,81,0.000426856821893872,0.0904056534318585,-8.65338369963371,-8.45963636363636,-8.77375000000001,"M",30
"S003","C8M117.1","V",9,"33",173,0,0.00553900216168874,-5.19647984709349,72.7531791907514,72.726,71.3142857142857,0.000550356787513585,0.112416015497001,-2.52645450888227,-2.43363636363637,-2.64682080924857,"M",30
"S003","C9M102.2","V",10,"34",187,1,0.0053271504172541,-5.23505818075923,69.7323529411765,69.6902702702703,73.9189189189189,0.000338505043078946,0.0738376818312645,-5.54728075845723,-5.46936609336609,-5.66764705882353,"M",30
"S004","A10M117.2","A",10,"22",86,0,0.0059892060649474,-5.11812049576425,65.1993023255814,65.2622222222222,73.1666666666667,0.00129673486333684,0.246740801150119,-1.23970429693516,-1.00105646630237,1.13372855508959,"F",47
"S004","A11M116.2","A",11,"23",104,0,0.00588570534550688,-5.13529194220295,68.8846153846154,68.8135,68.45,0.00119323414389633,0.229569354711423,2.44560876209883,2.55022131147541,4.81904161412358,"F",47
"S004","A12M116.3","A",12,"24",109,1,0.00525388859617613,-5.24950467246644,70.8706422018349,71.1286956521739,66.3913043478261,0.00056141739456557,0.115356624447932,4.43163557931831,4.86541696364932,6.80506843134306,"F",47
"S004","A1M101.3","A",1,"13",83,1,0.00569236635198839,-5.16961481889496,65.2418072289157,65.26125,66.625,0.000999895150377832,0.195246478019414,-1.1971993936009,-1.00202868852459,1.17623345842385,"F",47
